City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp(F),Wind Speed
Hervey Bay,48.0,AU,03-24-19,78.0,-25.3,152.85,86.0,4.7
Hovd,90.0,NO,03-24-19,100.0,63.83,10.7,37.99,4.7
Fort Nelson,20.0,CA,03-24-19,37.0,58.81,-122.69,51.8,11.41
Santa Cruz,1.0,US,03-24-19,55.0,36.97,-122.03,70.0,8.05
Leninskoye,0.0,RU,03-24-19,79.0,54.82,82.85,28.4,4.47
Port Elizabeth,1.0,US,03-24-19,30.0,39.31,-74.98,60.8,5.82
Puerto Ayora,0.0,EC,03-24-19,74.0,-0.74,-90.35,84.2,9.17
Maceio,20.0,BR,03-24-19,78.0,-9.67,-35.74,80.6,8.05
Lasa,0.0,CY,03-24-19,53.0,34.92,32.53,55.4,11.41
Jamestown,76.0,AU,03-24-19,72.0,-33.21,138.6,58.71,16.35
Hithadhoo,88.0,MV,03-24-19,100.0,-0.6,73.08,83.28,8.19
Lazaro Cardenas,5.0,MX,03-24-19,12.0,28.39,-105.62,82.4,9.17
Ushuaia,75.0,AR,03-24-19,40.0,-54.81,-68.31,53.6,11.41
Oudtshoorn,24.0,ZA,03-24-19,93.0,-33.59,22.2,66.2,6.93
Saint-Georges,36.0,CA,03-24-19,88.0,46.12,-70.67,30.0,5.01
Hilo,90.0,US,03-24-19,88.0,19.71,-155.08,73.99,18.03
Nanortalik,88.0,GL,03-24-19,94.0,60.14,-45.24,31.26,39.73
Katherine,90.0,AU,03-24-19,83.0,-14.47,132.26,82.4,8.05
Laguna,5.0,MX,03-24-19,16.0,27.52,-110.01,84.2,9.17
Saint George,0.0,GR,03-24-19,81.0,39.45,22.34,46.4,2.26
Torrijos,8.0,ES,03-24-19,38.0,39.98,-4.28,54.0,2.93
Morondava,0.0,MG,03-24-19,98.0,-20.3,44.28,78.15,4.61
Bandarbeyla,100.0,SO,03-24-19,100.0,9.49,50.81,79.05,2.93
Hobart,20.0,AU,03-24-19,38.0,-42.88,147.33,59.0,25.28
Busselton,0.0,AU,03-24-19,49.0,-33.64,115.35,48.99,18.25
Saint Anthony,90.0,US,03-24-19,97.0,43.97,-111.68,39.2,5.82
Ibotirama,88.0,BR,03-24-19,100.0,-12.18,-43.22,69.87,2.93
Torbay,75.0,CA,03-24-19,86.0,47.66,-52.73,34.0,26.4
Dunedin,76.0,NZ,03-24-19,89.0,-45.87,170.5,64.0,7.0
Rikitea,20.0,PF,03-24-19,97.0,-23.12,-134.97,79.77,13.67
Mataura,80.0,NZ,03-24-19,85.0,-46.19,168.86,66.99,1.99
Calama,0.0,CL,03-24-19,16.0,-22.46,-68.93,73.4,21.92
San Quintin,0.0,PH,03-24-19,57.0,17.54,120.52,74.1,4.16
Scottsbluff,90.0,US,03-24-19,87.0,41.87,-103.67,48.2,6.93
Boo,64.0,NG,03-24-19,85.0,7.44,8.9,76.17,11.65
Vestmannaeyjar,20.0,IS,03-24-19,100.0,63.44,-20.27,31.35,4.94
Zaozerne,80.0,UA,03-24-19,78.0,51.37,23.94,35.13,2.93
Faanui,12.0,PF,03-24-19,97.0,-16.48,-151.75,85.8,13.44
Eenhana,56.0,NA,03-24-19,54.0,-17.48,16.34,71.85,2.82
Bathsheba,75.0,BB,03-24-19,74.0,13.22,-59.52,78.8,14.99
Cape Town,0.0,ZA,03-24-19,82.0,-33.93,18.42,66.99,13.87
Joaima,92.0,BR,03-24-19,96.0,-16.65,-41.03,71.31,5.39
Punta Arenas,75.0,CL,03-24-19,54.0,-53.16,-70.91,53.6,28.86
Severo-Kurilsk,48.0,RU,03-24-19,100.0,50.68,156.12,27.48,15.57
Vaini,0.0,IN,03-24-19,88.0,15.34,74.49,67.08,1.7
Santo Antonio da Platina,48.0,BR,03-24-19,55.0,-23.3,-50.08,77.7,6.4
Baoding,0.0,CN,03-24-19,33.0,38.86,115.49,49.26,4.94
Hermanus,64.0,ZA,03-24-19,95.0,-34.42,19.24,66.0,2.37
Klaksvik,0.0,FO,03-24-19,80.0,62.23,-6.59,39.2,13.87
Tuktoyaktuk,75.0,CA,03-24-19,79.0,69.44,-133.03,21.2,8.05
Port Macquarie,32.0,AU,03-24-19,88.0,-31.43,152.91,82.0,3.36
Waingapu,88.0,ID,03-24-19,87.0,-9.65,120.26,79.5,7.96
Coffs Harbour,36.0,AU,03-24-19,74.0,-30.3,153.13,80.6,4.83
Panzhihua,0.0,CN,03-24-19,55.0,26.59,101.72,45.21,2.71
Upernavik,0.0,GL,03-24-19,100.0,72.79,-56.15,-0.61,26.87
Sirjan,36.0,IR,03-24-19,85.0,29.44,55.67,41.43,7.18
Albany,75.0,US,03-24-19,20.0,42.65,-73.75,55.99,14.99
Avarua,88.0,CK,03-24-19,78.0,-21.21,-159.78,82.4,4.7
Khatanga,68.0,RU,03-24-19,80.0,71.98,102.47,6.24,10.87
Luanda,75.0,AO,03-24-19,83.0,-8.83,13.24,78.8,3.36
Atuona,44.0,PF,03-24-19,100.0,-9.8,-139.03,82.38,16.46
Pevek,48.0,RU,03-24-19,92.0,69.7,170.27,0.75,10.98
Carnarvon,0.0,ZA,03-24-19,51.0,-30.97,22.13,61.14,9.98
Nikolskoye,0.0,RU,03-24-19,69.0,59.7,30.79,34.0,6.71
Aksarka,48.0,RU,03-24-19,86.0,66.56,67.8,23.52,14.12
Honningsvag,75.0,NO,03-24-19,63.0,70.98,25.97,30.2,18.34
Mezen,88.0,RU,03-24-19,87.0,65.85,44.24,33.15,6.96
Muros,0.0,ES,03-24-19,53.0,42.77,-9.06,59.0,4.7
Manokwari,56.0,ID,03-24-19,97.0,-0.87,134.08,81.75,5.95
Novyy Urgal,80.0,RU,03-24-19,64.0,51.07,132.56,15.78,3.71
Carauari,20.0,BR,03-24-19,91.0,-4.88,-66.9,79.68,1.59
Sao Joao da Barra,0.0,BR,03-24-19,78.0,-21.64,-41.05,77.0,2.24
Souillac,20.0,FR,03-24-19,66.0,45.6,-0.6,51.01,6.93
Pandan,32.0,PH,03-24-19,99.0,11.72,122.09,79.77,17.36
Somerset East,100.0,ZA,03-24-19,86.0,-32.72,25.59,62.49,2.93
Bichura,80.0,RU,03-24-19,84.0,50.59,107.6,22.62,2.71
New Norfolk,20.0,AU,03-24-19,38.0,-42.78,147.06,59.0,25.28
Naze,40.0,NG,03-24-19,94.0,5.43,7.07,78.8,6.4
Barrow,92.0,AR,03-24-19,83.0,-38.31,-60.23,56.91,13.0
Antalaha,44.0,MG,03-24-19,93.0,-14.9,50.28,78.06,8.41
San Cristobal,75.0,EC,03-24-19,87.0,-0.39,-78.55,59.0,5.82
Yellowknife,75.0,CA,03-24-19,53.0,62.45,-114.38,28.0,20.8
Lebu,20.0,ET,03-24-19,34.0,8.96,38.73,66.2,6.93
Bulaevo,44.0,KZ,03-24-19,70.0,54.91,70.44,13.26,3.6
Cambridge,36.0,GB,03-24-19,70.0,52.2,0.12,48.99,8.05
Clyde River,75.0,CA,03-24-19,75.0,70.47,-68.59,-13.01,32.21
Carlos Barbosa,0.0,BR,03-24-19,82.0,-29.3,-51.5,69.01,6.93
Antofagasta,20.0,CL,03-24-19,68.0,-23.65,-70.4,68.0,11.41
Guerande,0.0,FR,03-24-19,93.0,48.47,-4.17,46.99,6.93
Chara,0.0,GR,03-24-19,81.0,39.42,22.43,46.4,2.26
Sobolevo,0.0,RU,03-24-19,74.0,54.43,31.9,24.51,7.52
Bluff,12.0,AU,03-24-19,62.0,-23.58,149.07,83.1,5.73
Kodiak,90.0,US,03-24-19,93.0,39.95,-94.76,57.0,12.75
Georgetown,40.0,GY,03-24-19,70.0,6.8,-58.16,84.2,11.41
Lodja,88.0,CD,03-24-19,92.0,-3.52,23.6,73.56,1.36
La Ronge,20.0,CA,03-24-19,53.0,55.1,-105.3,26.6,6.93
Lompoc,1.0,US,03-24-19,52.0,34.64,-120.46,68.0,4.7
Nome,90.0,US,03-24-19,69.0,30.04,-94.42,75.2,11.41
Mar del Plata,0.0,AR,03-24-19,90.0,-46.43,-67.52,54.03,5.73
Butaritari,76.0,KI,03-24-19,100.0,3.07,172.79,83.1,8.75
Potiskum,56.0,NG,03-24-19,30.0,11.71,11.08,75.54,9.98
Yelbarga,0.0,IN,03-24-19,84.0,15.63,76.02,69.06,3.15
Lavrentiya,92.0,RU,03-24-19,96.0,65.58,-170.99,32.61,18.81
Beringovskiy,80.0,RU,03-24-19,100.0,63.05,179.32,31.98,7.74
Makakilo City,1.0,US,03-24-19,44.0,21.35,-158.09,82.4,10.29
Tezu,0.0,IN,03-24-19,73.0,27.93,96.16,52.23,1.92
Hobyo,68.0,SO,03-24-19,89.0,5.35,48.53,78.24,7.85
Roche-la-Moliere,0.0,FR,03-24-19,75.0,45.43,4.32,51.8,5.82
Dzhebariki-Khaya,0.0,RU,03-24-19,63.0,62.22,135.8,3.09,2.59
Hofn,76.0,IS,03-24-19,100.0,64.25,-15.21,36.93,8.97
Ibra,0.0,OM,03-24-19,96.0,22.69,58.55,60.42,2.26
Skala,0.0,GR,03-24-19,81.0,36.85,22.66,55.99,5.82
Ubinskoye,80.0,RU,03-24-19,91.0,55.31,79.68,25.05,6.73
Broken Hill,40.0,AU,03-24-19,72.0,-31.97,141.45,64.4,16.11
Trofors,80.0,NO,03-24-19,90.0,65.54,13.39,32.0,2.24
Ribeira Grande,44.0,PT,03-24-19,100.0,38.52,-28.7,58.8,2.15
Thompson,20.0,CA,03-24-19,29.0,55.74,-97.86,23.0,9.17
Oxbow,1.0,CA,03-24-19,94.0,49.23,-102.17,32.0,10.29
Monrovia,20.0,LR,03-24-19,94.0,6.33,-10.8,78.8,6.62
Mehamn,75.0,NO,03-24-19,68.0,71.03,27.85,30.2,23.04
Ukiah,1.0,US,03-24-19,36.0,39.15,-123.21,64.0,11.41
Bambous Virieux,75.0,MU,03-24-19,74.0,-20.34,57.76,82.4,10.29
Manzanillo,100.0,CU,03-24-19,100.0,20.34,-77.12,72.12,7.96
Alvaraes,40.0,BR,03-24-19,83.0,-3.22,-64.8,82.4,3.36
Sawai Madhopur,0.0,IN,03-24-19,73.0,26.02,76.35,65.91,3.6
Port-Gentil,20.0,GA,03-24-19,94.0,-0.72,8.78,77.0,1.12
East London,44.0,ZA,03-24-19,100.0,-33.02,27.91,72.66,17.81
Cockburn Town,88.0,TC,03-24-19,100.0,21.46,-71.14,77.88,18.81
Henties Bay,44.0,NA,03-24-19,87.0,-22.12,14.28,62.01,1.01
Penzance,0.0,GB,03-24-19,81.0,50.12,-5.53,46.99,9.17
Esperance,20.0,TT,03-24-19,65.0,10.24,-61.45,82.4,13.87
Husavik,0.0,CA,03-24-19,40.0,50.56,-96.99,30.99,5.01
Naron,0.0,ES,03-24-19,71.0,43.52,-8.15,55.99,3.36
Longyearbyen,20.0,NO,03-24-19,66.0,78.22,15.63,12.2,9.17
Teluknaga,20.0,ID,03-24-19,88.0,-6.1,106.64,80.6,6.93
Tuy Hoa,80.0,VN,03-24-19,90.0,13.08,109.3,77.07,5.61
Coruripe,32.0,BR,03-24-19,100.0,-10.12,-36.18,80.31,10.09
Castro,0.0,CL,03-24-19,67.0,-42.48,-73.76,57.2,9.17
Buchanan,20.0,LR,03-24-19,94.0,5.88,-10.05,78.8,6.62
Airai,8.0,TL,03-24-19,77.0,-8.93,125.41,77.25,2.15
Kutum,8.0,SD,03-24-19,22.0,14.2,24.66,68.43,11.1
Kloulklubed,40.0,PW,03-24-19,88.0,7.04,134.26,75.2,4.7
Chuy,0.0,UY,03-24-19,77.0,-33.69,-53.46,63.57,16.69
Nyimba,12.0,ZM,03-24-19,81.0,-14.56,30.81,72.57,5.5
Bodden Town,20.0,KY,03-24-19,70.0,19.28,-81.25,84.2,12.75
Novoagansk,20.0,RU,03-24-19,73.0,61.94,76.66,15.87,4.61
Dingle,0.0,PH,03-24-19,63.0,11.0,122.67,79.77,11.99
Dingtao,0.0,CN,03-24-19,63.0,35.07,115.56,48.45,12.21
Samarai,80.0,PG,03-24-19,100.0,-10.62,150.67,80.13,15.12
Kapaa,90.0,US,03-24-19,83.0,22.08,-159.32,75.2,14.99
Kangaba,92.0,ML,03-24-19,52.0,11.94,-8.41,85.35,3.38
Dikson,88.0,RU,03-24-19,93.0,73.51,80.55,24.24,35.14
Mackay,90.0,CA,03-24-19,75.0,53.65,-115.58,41.0,12.75
Paamiut,76.0,GL,03-24-19,82.0,61.99,-49.67,36.21,40.85
Almaznyy,20.0,RU,03-24-19,91.0,48.03,40.04,39.2,11.18
Arlit,68.0,NE,03-24-19,27.0,18.74,7.39,71.13,9.64
Mountain Home,90.0,US,03-24-19,75.0,43.13,-115.69,50.0,11.41
Belomorsk,56.0,RU,03-24-19,81.0,64.52,34.76,29.37,8.41
Muyezerskiy,92.0,RU,03-24-19,85.0,63.93,31.65,31.8,6.62
Idar,0.0,DE,03-24-19,74.0,49.72,7.3,42.01,5.82
Ponta do Sol,20.0,BR,03-24-19,87.0,-20.63,-46.0,68.43,2.93
Aklavik,40.0,CA,03-24-19,99.0,68.22,-135.01,32.0,3.15
Riyadh,75.0,SA,03-24-19,41.0,24.63,46.72,77.0,6.93
Kristiansund,32.0,NO,03-24-19,69.0,63.12,7.73,35.6,20.8
Narsaq,92.0,GL,03-24-19,83.0,60.91,-46.05,32.0,47.2
Sao Jose da Coroa Grande,8.0,BR,03-24-19,89.0,-8.9,-35.15,79.05,7.96
Mount Isa,40.0,AU,03-24-19,74.0,-20.73,139.49,80.6,18.34
Khor,56.0,RU,03-24-19,69.0,47.88,134.96,29.55,4.16
Vikhorevka,88.0,RU,03-24-19,41.0,56.12,101.17,21.2,6.71
Te Anau,92.0,NZ,03-24-19,81.0,-45.41,167.72,64.65,10.54
Bonavista,0.0,CA,03-24-19,86.0,48.65,-53.11,34.0,20.0
Beyneu,36.0,KZ,03-24-19,76.0,45.32,55.19,46.65,8.97
Kahului,75.0,US,03-24-19,69.0,20.89,-156.47,80.6,4.7
Touros,0.0,BR,03-24-19,78.0,-5.2,-35.46,82.4,8.05
Nelson Bay,90.0,AU,03-24-19,94.0,-32.72,152.14,75.0,6.93
Azanka,80.0,RU,03-24-19,97.0,58.04,64.79,30.9,4.38
Pleasanton,1.0,US,03-24-19,63.0,37.66,-121.87,69.01,5.82
Roald,90.0,NO,03-24-19,93.0,62.58,6.12,36.0,18.34
Namatanai,48.0,PG,03-24-19,100.0,-3.66,152.44,81.75,7.74
Abu Dhabi,0.0,AE,03-24-19,39.0,24.47,54.37,84.2,12.75
Mahon,40.0,IE,03-24-19,87.0,51.89,-8.4,42.8,9.17
Redmond,75.0,US,03-24-19,58.0,47.67,-122.12,57.0,3.36
Komsomolskiy,92.0,RU,03-24-19,94.0,67.55,63.78,30.9,15.68
Mazagao,75.0,BR,03-24-19,100.0,-0.12,-51.29,77.0,4.7
Mangrol,0.0,IN,03-24-19,83.0,25.33,76.51,61.5,2.59
Taoudenni,56.0,ML,03-24-19,34.0,22.68,-3.98,70.32,2.59
Lakselv,90.0,NO,03-24-19,79.0,70.05,24.96,30.2,28.86
El Vigia,5.0,MX,03-24-19,16.0,26.85,-109.72,87.01,9.17
Saint-Philippe,90.0,CA,03-24-19,74.0,45.36,-73.48,36.0,6.93
Ahipara,76.0,NZ,03-24-19,73.0,-35.17,173.16,73.38,10.98
Linhares,80.0,BR,03-24-19,82.0,-19.38,-40.06,76.17,6.96
Rocha,64.0,UY,03-24-19,66.0,-34.48,-54.34,62.94,17.47
Port Lincoln,24.0,AU,03-24-19,84.0,-34.72,135.86,63.66,23.85
Qinhuangdao,0.0,CN,03-24-19,36.0,39.94,119.59,47.64,4.94
Tiksi,44.0,RU,03-24-19,61.0,71.64,128.87,-7.72,3.94
Bethel,90.0,US,03-24-19,86.0,60.79,-161.76,39.2,19.46
Brazzaville,20.0,CD,03-24-19,83.0,-4.27,15.27,78.8,3.36
Lagos,20.0,NG,03-24-19,88.0,6.46,3.39,80.6,3.36
Salalah,40.0,OM,03-24-19,78.0,17.01,54.1,78.8,6.93
Hailey,90.0,US,03-24-19,84.0,43.52,-114.32,36.0,12.75
Cidreira,20.0,BR,03-24-19,69.0,-30.17,-50.22,72.03,10.54
Labuhan,36.0,ID,03-24-19,85.0,-2.54,115.51,78.87,1.36
Aksu,90.0,KZ,03-24-19,100.0,52.04,76.93,28.4,3.71
Vilhena,20.0,BR,03-24-19,94.0,-12.74,-60.15,75.2,2.24
Port Hedland,90.0,AU,03-24-19,94.0,-20.31,118.58,77.0,24.16
Tasiilaq,92.0,GL,03-24-19,73.0,65.61,-37.64,23.0,40.26
Severo-Yeniseyskiy,88.0,RU,03-24-19,93.0,60.37,93.04,24.6,2.71
Nantucket,1.0,US,03-24-19,60.0,41.28,-70.1,44.01,20.8
Camacha,40.0,PT,03-24-19,82.0,33.08,-16.33,64.4,19.46
Fortuna,0.0,ES,03-24-19,62.0,38.18,-1.13,55.0,2.24
Sorland,90.0,NO,03-24-19,100.0,67.67,12.69,32.0,17.22
Teguise,20.0,ES,03-24-19,82.0,29.06,-13.56,64.4,8.05
Ilulissat,80.0,GL,03-24-19,54.0,69.22,-51.1,30.2,23.04
Bredasdorp,80.0,ZA,03-24-19,93.0,-34.53,20.04,62.6,5.82
Ouesso,76.0,CG,03-24-19,86.0,1.61,16.05,76.98,3.15
Pathein,0.0,MM,03-24-19,90.0,16.78,94.73,72.57,6.4
Tilichiki,64.0,RU,03-24-19,81.0,60.47,166.1,13.98,8.41
Lakota,1.0,US,03-24-19,79.0,48.04,-98.34,21.2,13.87
Vila Franca do Campo,20.0,PT,03-24-19,82.0,37.72,-25.43,57.2,9.17
Lata,68.0,IN,03-24-19,89.0,30.78,78.62,41.79,2.04
Berlevag,75.0,NO,03-24-19,80.0,70.86,29.09,30.2,23.04
Saldanha,0.0,PT,03-24-19,59.0,41.42,-6.55,46.38,7.85
Khatassy,0.0,RU,03-24-19,77.0,61.91,129.64,1.4,8.95
Qaanaaq,0.0,GL,03-24-19,74.0,77.48,-69.36,-25.36,6.96
Arraial do Cabo,24.0,BR,03-24-19,90.0,-22.97,-42.02,79.05,9.98
Belyy Yar,75.0,RU,03-24-19,94.0,53.6,91.39,32.0,4.47
Victoria,90.0,BN,03-24-19,88.0,5.28,115.24,80.6,2.24
Juegang,88.0,CN,03-24-19,82.0,32.31,121.18,51.01,11.1
Sibu,75.0,MY,03-24-19,94.0,2.29,111.83,75.2,1.12
Lipin Bor,80.0,RU,03-24-19,83.0,60.26,37.97,27.57,9.86
Aktau,90.0,KZ,03-24-19,81.0,43.65,51.16,42.8,13.42
Anadyr,90.0,RU,03-24-19,85.0,64.73,177.51,23.0,20.13
Padang,20.0,ID,03-24-19,94.0,-0.92,100.36,75.2,1.12
Batemans Bay,68.0,AU,03-24-19,68.0,-35.71,150.18,75.0,7.0
Sarakhs,0.0,TM,03-24-19,63.0,36.54,61.16,60.8,4.7
Muisne,44.0,EC,03-24-19,73.0,0.61,-80.02,76.8,5.39
Hualmay,32.0,PE,03-24-19,80.0,-11.1,-77.61,69.51,4.38
Bolama,0.0,GW,03-24-19,73.0,11.58,-15.48,75.2,4.7
Den Helder,90.0,NL,03-24-19,75.0,52.96,4.76,46.99,21.92
Mogadishu,80.0,SO,03-24-19,97.0,2.04,45.34,83.01,12.33
Vanimo,80.0,PG,03-24-19,100.0,-2.67,141.3,80.49,9.31
Lamu,0.0,ID,03-24-19,91.0,0.57,122.3,77.07,2.71
Broome,8.0,GB,03-24-19,75.0,52.47,1.45,48.2,11.41
Coari,20.0,BR,03-24-19,96.0,-4.09,-63.14,76.98,2.93
Cherskiy,0.0,RU,03-24-19,60.0,68.75,161.3,1.38,5.17
Kavieng,64.0,PG,03-24-19,100.0,-2.57,150.8,84.0,8.3
Rayachoti,0.0,IN,03-24-19,83.0,14.06,78.75,67.35,3.27
Moose Factory,1.0,CA,03-24-19,43.0,51.26,-80.61,14.0,14.99
Xichang,8.0,CN,03-24-19,79.0,27.88,102.25,28.92,1.48
Raudeberg,88.0,NO,03-24-19,100.0,61.99,5.14,37.99,5.82
Sorada,0.0,IN,03-24-19,79.0,19.76,84.43,63.12,2.71
Sambava,68.0,MG,03-24-19,100.0,-14.27,50.17,81.84,10.2
Sarkand,92.0,KZ,03-24-19,91.0,45.41,79.91,40.17,2.93
Pangnirtung,76.0,CA,03-24-19,70.0,66.15,-65.72,15.6,30.89
Luderitz,20.0,NA,03-24-19,92.0,-26.65,15.16,58.8,12.55
Tuatapere,92.0,NZ,03-24-19,85.0,-46.13,167.69,66.99,1.99
Coahuayana,0.0,MX,03-24-19,20.0,18.62,-100.35,85.89,2.48
Tateyama,75.0,JP,03-24-19,42.0,36.66,137.31,50.0,10.29
Otane,0.0,NZ,03-24-19,56.0,-39.89,176.62,75.99,5.99
Inhambane,20.0,MZ,03-24-19,100.0,-23.87,35.38,72.48,5.95
Menzelinsk,0.0,RU,03-24-19,92.0,55.73,53.11,32.0,8.95
Flinders,0.0,AU,03-24-19,53.0,-34.58,150.85,78.01,17.22
Acheng,0.0,CN,03-24-19,68.0,45.55,126.95,26.6,11.18
Bilma,36.0,NE,03-24-19,17.0,18.69,12.92,73.47,13.56
Rome,0.0,IT,03-24-19,66.0,41.89,12.48,55.0,4.7
Crotone,0.0,IT,03-24-19,97.0,39.09,17.12,59.07,6.73
Sulangan,0.0,PH,03-24-19,100.0,11.14,123.72,80.67,17.69
Jijiga,0.0,ET,03-24-19,53.0,9.35,42.8,63.03,8.19
Port Alfred,24.0,ZA,03-24-19,94.0,-33.59,26.89,71.01,5.01
Leiyang,68.0,CN,03-24-19,100.0,26.42,112.85,49.98,3.38
Jiexiu,0.0,CN,03-24-19,62.0,37.02,111.92,34.41,3.83
Nguru,0.0,NG,03-24-19,22.0,12.88,10.45,74.73,9.42
Namibe,0.0,AO,03-24-19,100.0,-15.19,12.15,76.89,8.41
Ahuimanu,75.0,US,03-24-19,57.0,21.44,-157.84,82.4,9.17
Eureka,1.0,US,03-24-19,100.0,40.8,-124.16,64.99,9.17
Saskylakh,64.0,RU,03-24-19,70.0,71.97,114.09,-10.33,3.27
Codrington,56.0,AU,03-24-19,69.0,-28.95,153.24,84.0,3.36
Ossora,76.0,RU,03-24-19,93.0,59.24,163.07,12.72,16.58
Mayo,90.0,CA,03-24-19,86.0,63.59,-135.9,39.2,2.24
Diego de Almagro,0.0,CL,03-24-19,78.0,-26.39,-70.05,65.37,2.48
Washington DC.,40.0,US,03-24-19,33.0,38.9,-77.04,66.2,9.17
Verkhnyaya Inta,56.0,RU,03-24-19,78.0,65.99,60.32,32.79,6.62
Coracao de Jesus,40.0,BR,03-24-19,78.0,-16.69,-44.37,75.2,3.36
Lerwick,80.0,GB,03-24-19,80.0,60.15,-1.15,41.0,21.92
